Name,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Answer,image,FAQ-1D,FAQ 2D category,Product,Pricing-section,FAQ-main-section,Contact-section,FAQ-sub-section,Order
 Can I filter and view resources by specific tags?,resource-usage-tag-filtering,6553f2f580e17f32ec1dd65b,6550ba985d0bbc1cfca82427,68196393f12a1ed89054b6f9,false,false,Tue May 06 2025 01:19:15 GMT+0000 (Coordinated Universal Time),Tue May 06 2025 01:19:15 GMT+0000 (Coordinated Universal Time),Thu Jun 26 2025 08:49:43 GMT+0000 (Coordinated Universal Time),"<p id="""">Yes,.<br>In the Resource Usage menu of OpsNow FinOps Plus, you can filter cloud resources based on their assigned Tag Key/Value pairs to isolate and analyze specific sets of assets — such as those tied to a particular team, project, or environment.</p><h3 id="""">🏷️ Key Features of Tag-Based Filtering</h3><h4 id="""">✅ 1. Search by Tag Key/Value</h4><ul id=""""><li>Examples: <code id="""">Environment=Prod</code>, <code id="""">Team=FinOps</code>, <code id="""">Owner=lee.hj</code></li><li>Easily isolate cloud resources by business function, project ownership, or organizational structure</li></ul><h4 id="""">✅ 2. Combine with Account and Region Filters</h4><ul id=""""><li>Tag filters can be combined with Account (AWS Account / Azure Subscription / GCP Project) and Region filters</li><li>Example: View only EC2 instances in <code id="""">us-east-1</code> under a specific AWS account where <code id="""">Team=DevOps</code></li></ul><h4 id="""">✅ 3. Ideal for Large-Scale Environments</h4><ul id=""""><li>In environments with hundreds or thousands of assets, tag-based filtering enables operational segmentation and accountability tracking (showback) across departments or teams<br>‍</li></ul><h3 id="""">📌 Benefits of Using Tags for Resource Management</h3><ul id=""""><li>Gain visibility into team- or project-specific cloud spending</li><li>Enable internal chargeback/showback models with accurate resource grouping</li><li>Simplify asset discovery in complex multi-account environments</li></ul><p>‍</p>",,OpsNow FinOps Plus,resource-usage,opsnow-finops-plus,false,false,false,false,
 Do I need to take any additional action to apply the resource optimization recommendations?,resource-optimization-rightsizing-application,6553f2f580e17f32ec1dd65b,6550ba985d0bbc1cfca82427,6819742cb7c60c5b6ed46c41,false,false,Tue May 06 2025 02:30:04 GMT+0000 (Coordinated Universal Time),Tue May 06 2025 02:56:57 GMT+0000 (Coordinated Universal Time),Thu Jun 26 2025 08:49:43 GMT+0000 (Coordinated Universal Time),"<p id="""">Yes. The optimization recommendations (Right Sizing) provided by OpsNow FinOps Plus are cost-saving suggestions and do not automatically apply changes to your cloud resources.</p><p id="""">You will need to manually implement the recommendations using your cloud console or IaC tools.<br>‍</p><h3 id="""">✅ How to apply optimization recommendations</h3><ul id=""""><li>Manual execution required<br>Example: <code id="""">t3.xlarge → t3.medium</code><br>Suggested instance changes must be manually implemented via your cloud provider's console (AWS, Azure, GCP) or through IaC tools like Terraform, CloudFormation, or ARM templates.</li><li id="""">What OpsNow provides<ul id=""""><li>Recommended instance types</li><li>Before/after cost comparisons</li><li>Estimated monthly savings<br>→ All necessary information is provided in a clear, tabular format to support manual execution.<br>‍</li></ul></li></ul><h3 id="""">🔄 Upcoming automated workflow support</h3><p id="""">OpsNow will soon support workflow integration for automatic execution.<br>This will allow organizations to apply changes more efficiently while aligning with internal security policies and approval procedures.</p><p>‍</p>",,OpsNow FinOps Plus,resource-optimization,opsnow-finops-plus,false,false,false,false,
 How far back can I view resource usage history?,resource-usage-history-period,6553f2f580e17f32ec1dd65b,6550ba985d0bbc1cfca82427,681963037209e4ec9281130f,false,false,Tue May 06 2025 01:16:51 GMT+0000 (Coordinated Universal Time),Tue May 06 2025 01:16:51 GMT+0000 (Coordinated Universal Time),Thu Jun 26 2025 08:49:43 GMT+0000 (Coordinated Universal Time),"<p id=""""><strong id="""">OpsNow FinOps Plus</strong> provides users with access to <strong id="""">up to 13 months of historical cloud resource usage data</strong> by default.<br>This includes changes in resource status, specifications, and instance count — all available in <strong id="""">daily or monthly views</strong> for precise trend analysis.<br>‍</p><h3 id="""">📊 Key features of usage history tracking</h3><ul id=""""><li><strong id="""">13-Month Data Retention (Standard)</strong><br>→ Monitor instance status changes (running, stopped, deallocated), resizing history, and lifecycle events</li><li><strong id="""">Daily and Monthly Time Views</strong><br>→ Flexible granularity for analyzing short-term spikes or long-term patterns in resource consumption</li><li><strong id="""">Graphical Trend Charts in History Tab</strong><br>→ Visualize changes in usage or instance specs across time directly on the UI<br>‍</li></ul><h3 id="""">💼 Extended History for Enterprise Plans</h3><ul id=""""><li><strong id="""">Enterprise plan customers</strong> may receive <strong id="""">unlimited access to historical usage data</strong> depending on their contract terms.</li><li id="""">This is especially useful for:<ul id=""""><li>Long-term budget forecasting</li><li>Strategic FinOps planning and governance</li><li>Internal reporting and auditing documentation</li></ul></li></ul><p id="""">📝 <strong id="""">Note:</strong> Retention policies may vary depending on plan type or customization options. Long-term data access can be configured upon request.<br>‍</p><p id="""">📌 <strong id="""">Summary</strong><br>OpsNow provides powerful tools for tracking <strong id="""">cloud resource usage history over time</strong>, helping organizations detect trends, reduce waste, and support cost optimization strategies with long-term data.</p><p>‍</p>",,OpsNow FinOps Plus,resource-usage,opsnow-finops-plus,false,false,false,false,
 What is an Organization in OpsNow?,what-is-an-organization-in-opsnow,6553f2f580e17f32ec1dd65b,6550ba985d0bbc1cfca82427,681c6803b663877aeef4019c,false,false,Thu May 08 2025 08:14:59 GMT+0000 (Coordinated Universal Time),Fri May 09 2025 03:16:41 GMT+0000 (Coordinated Universal Time),Thu Jun 26 2025 08:49:43 GMT+0000 (Coordinated Universal Time),"<p id="""">An Organization in OpsNow FinOps Plus is a dedicated space where cloud resources, cost data, and policy settings can be independently managed and monitored by specific teams or departments.<br>Each company account can create up to 10 organizations, and access to each organization is strictly permission-based—only authorized users can view or manage its cloud data.</p><p id="""">Organizations are ideal for companies that need to:</p><ul id=""""><li>✅ Separate cloud costs by team, business unit, or project</li><li>✅ Assign clear ownership and visibility across departments</li><li>✅ Monitor usage and spending without data overlap</li><li>✅ Maintain security while working with internal teams and external partners</li></ul><p id="""">With OpsNow, each organization can manage:</p><ul id=""""><li>💰 Cloud cost trends and optimization opportunities</li><li>📊 Resource usage and performance indicators</li><li>🔐 Governance policies and compliance configurations</li></ul><p id="""">You can also assign users to different organizations with role-based access controls, helping you maintain data isolation, accountability, and operational efficiency across multi-cloud environments.</p><p id="""">📌 If your company manages multiple teams or departments in the cloud, OpsNow Organizations help you build a scalable and secure FinOps model.</p><p>‍</p>",,Setting,user-organization,opsnow-finops-plus,true,false,false,true,1
 What is the criteria for Downsize recommendations?,downsize-recommendation-criteria,6553f2f580e17f32ec1dd65b,6550ba985d0bbc1cfca82427,68196ed82c0ab707c2a450f6,false,false,Tue May 06 2025 02:07:20 GMT+0000 (Coordinated Universal Time),Tue May 06 2025 02:07:20 GMT+0000 (Coordinated Universal Time),Thu Jun 26 2025 08:49:43 GMT+0000 (Coordinated Universal Time),"<p id="""">The Resource Optimization menu in OpsNow FinOps Plus identifies overprovisioned cloud resources and recommends downsizing to more cost-efficient instance types based on actual usage data.</p><p id="""">This feature helps reduce unnecessary spending by detecting resources that are consistently underutilized relative to their specifications.<br>‍</p><h3 id="""">✅ Downsize Analysis Criteria</h3><ul id=""""><li>Average CPU utilization</li><li>Memory usage rate</li><li>Network I/O activity</li><li>Analysis window: Typically between 14 to 30 days<br>‍</li></ul><h3 id="""">🔍 How Downsize Recommendations Work</h3><ul id=""""><li>If the system determines that a resource can operate reliably on a smaller instance type based on recent usage metrics,<br>it is classified as a Downsize candidate.</li><li id="""">Examples:<ul id=""""><li><code id="""">t3.xlarge → t3.medium</code>,</li><li><code id="""">m6a.2xlarge → m6a.large</code>, etc.</li></ul></li><li>Vendor-specific logic is applied automatically for AWS, Azure, and GCP, considering the unique instance family structures and performance baselines of each cloud.<br>‍</li></ul><h3 id="""">⚙️ Customizable Thresholds</h3><ul id=""""><li id="""">Users can define Downsize conditions based on internal policies:<ul id=""""><li>e.g., CPU &lt; 10%, Memory &lt; 20% average usage, etc.</li></ul></li><li>The evaluation period and threshold values are fully configurable in the Settings panel.<br>‍</li></ul><p id="""">📌 Downsize is a core strategy for cloud cost optimization, allowing organizations to maintain performance while reducing infrastructure costs.</p><p>‍</p>",,OpsNow FinOps Plus,resource-optimization,opsnow-finops-plus,false,false,false,false,
 What is the difference between deactivating and removing a user account in OpsNow?,difference-deactivate-remove-user-opsnow,6553f2f580e17f32ec1dd65b,6550ba985d0bbc1cfca82427,6554182d71056e9aaa6b59fb,false,false,Wed Nov 15 2023 01:00:29 GMT+0000 (Coordinated Universal Time),Thu May 08 2025 06:36:28 GMT+0000 (Coordinated Universal Time),Thu Jun 26 2025 08:49:43 GMT+0000 (Coordinated Universal Time),"<p id="""">In OpsNow FinOps Plus, when a user no longer requires access—due to offboarding, contract changes, or inactivity—you can either deactivate or remove their account.<br>While both methods serve to protect your organization’s data, they differ in terms of how the account is handled.</p><h4 id="""">✅ Deactivate: Temporarily restrict access</h4><ul id=""""><li>The user account remains in the system, but all service access is blocked.</li><li>The account can be reactivated later, preserving access history and organizational ties.</li><li id="""">Best for:<ul id=""""><li>Long-term absences (e.g., leave of absence)</li><li>Temporary suspension of partners or external vendors</li><li>Internal security audits<br>‍</li></ul></li></ul><h4 id="""">❌ Remove: Permanently delete the account</h4><ul id=""""><li>The account is completely removed from OpsNow.</li><li>The user loses all access and must be reinvited to join again if needed.</li><li id="""">Best for:<ul id=""""><li>Offboarded employees</li><li>Terminated vendor or partner accounts</li><li>Irrecoverable security concerns<br>‍</li></ul></li></ul><h4 id="""">📌 Summary Table</h4><div data-rt-embed-type='true'><style>
  .action-compare-table {
    width: 100%;
    table-layout: fixed;
    border-collapse: collapse;
    font-family: Inter, sans-serif;
    font-size: 14px;
  }

  .action-compare-table th,
  .action-compare-table td {
    padding: 10px;
    border-bottom: 1px solid #eee;
    text-align: left;
    vertical-align: top;
    word-break: break-word;
  }

  .action-compare-table th {
    border-bottom: 2px solid #ddd;
    white-space: nowrap;
  }

  @media screen and (max-width: 768px) {
    .action-compare-table,
    .action-compare-table thead,
    .action-compare-table tbody,
    .action-compare-table th,
    .action-compare-table td,
    .action-compare-table tr {
      display: block;
      width: 100%;
      box-sizing: border-box;
    }

    .action-compare-table thead {
      display: none;
    }

    .action-compare-table tr {
      border: 1px solid #ddd;
      border-radius: 6px;
      padding: 12px;
      margin-bottom: 16px;
      background: #fafafa;
    }

    .action-compare-table td {
      border: none;
      padding: 6px 8px;
    }

    .action-compare-table td::before {
      content: attr(data-label);
      font-weight: bold;
      display: block;
      margin-bottom: 4px;
      color: #333;
    }
  }
</style>

<table class=""action-compare-table"">
  <thead>
    <tr>
      <th>Action</th>
      <th>Deactivate</th>
      <th>Remove</th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <td data-label=""Action"">Account Exists</td>
      <td data-label=""Deactivate"">✅ Yes</td>
      <td data-label=""Remove"">❌ No (permanently deleted)</td>
    </tr>
    <tr>
      <td data-label=""Action"">Access Allowed</td>
      <td data-label=""Deactivate"">❌ No</td>
      <td data-label=""Remove"">❌ No</td>
    </tr>
    <tr>
      <td data-label=""Action"">Reuse Later</td>
      <td data-label=""Deactivate"">✅ Possible (reactivate anytime)</td>
      <td data-label=""Remove"">❌ Not possible (must re-register)</td>
    </tr>
    <tr>
      <td data-label=""Action"">Use Case</td>
      <td data-label=""Deactivate"">Leave of absence, temporary suspension</td>
      <td data-label=""Remove"">Termination, offboarding, contract ended</td>
    </tr>
  </tbody>
</table></div><p>‍</p><p>📌 Regularly deactivating or removing unused accounts helps prevent unauthorized access and strengthens your organization’s overall security posture.</p>",,Setting,user-organization,opsnow-finops-plus,false,false,false,false,
Can I add a new VM? How can I do it?,can-i-add-a-new-vm-how-can-i-do-it,6553f2f580e17f32ec1dd65b,6550ba985d0bbc1cfca82427,68ef07e64278b829b3e29d18,false,false,Wed Oct 15 2025 02:33:10 GMT+0000 (Coordinated Universal Time),Thu Oct 16 2025 00:49:21 GMT+0000 (Coordinated Universal Time),Thu Oct 16 2025 01:14:54 GMT+0000 (Coordinated Universal Time),"<p id="""">Yes, you can create a new VM by clicking the New VM button.<br>You can specify the VM Name, Authority Group (a group registered in Group Management), Provider (Proxmox, VMware, OpenStack), Node, Template selection, Compute (Socket, Core, Memory), OS, and Storage.</p><p id="""">‍</p>",,,compute,prime,false,false,false,false,
Can I apply Policy Management to GCP accounts as well?,enable-policy-management-for-gcp-cloud,6553f2f580e17f32ec1dd65b,6550ba985d0bbc1cfca82427,681b3f5b858e78ee3867960c,false,false,Wed May 07 2025 11:09:15 GMT+0000 (Coordinated Universal Time),Wed May 07 2025 11:09:15 GMT+0000 (Coordinated Universal Time),Thu Jun 26 2025 08:49:43 GMT+0000 (Coordinated Universal Time),"<p id="""">Yes. OpsNow’s Policy Management fully supports Google Cloud Platform (GCP), in addition to AWS and Azure, allowing you to generate and manage GCP-specific policy compliance reports in the same way.</p><p id="""">To enable Policy Reports for GCP, you’ll first need to configure IAM permissions and grant access to required resources. OpsNow provides clear setup guidance, including Terraform scripts, so you can easily complete the integration process.</p><p id="""">Once permissions are in place, GCP accounts can be scanned automatically based on your selected compliance standards, just like in AWS or Azure. You’ll be able to:</p><ul id=""""><li>Generate compliance reports across GCP environments</li><li>Identify and drill down into non-compliant resources</li><li>Automatically schedule report delivery and manage historical logs</li></ul><p id="""">📌 With this integration, your organization can maintain consistent compliance monitoring across all major cloud platforms, eliminating the complexity of managing policies separately for each provider.<br>‍</p><h3 id="""">✅ Summary:</h3><ul id=""""><li>Fully supports policy reporting for GCP cloud accounts</li><li>Requires initial IAM permission setup, with Terraform scripts available</li><li>Offers the same features as AWS/Azure: scanning, reporting, alerts, and history</li><li>Enables unified compliance governance in multi-cloud environments</li></ul><p>‍</p>",,OpsNow FinOps Plus,policy-management,opsnow-finops-plus,false,false,false,false,
Can I apply and manage consistent security policies across the entire organization?,multi-account-cloud-policy-standardization,6553f2f580e17f32ec1dd65b,6550ba985d0bbc1cfca82427,681b3a2407c4e79e3522ec20,false,false,Wed May 07 2025 10:47:00 GMT+0000 (Coordinated Universal Time),Wed May 07 2025 10:47:00 GMT+0000 (Coordinated Universal Time),Thu Jun 26 2025 08:49:43 GMT+0000 (Coordinated Universal Time),"<p id="""">Yes. OpsNow's Policy Management feature allows you to apply the same set of security and compliance policies across multiple cloud accounts and manage them centrally.</p><p id="""">As organizations scale their cloud environments—often operating across AWS, Azure, and GCP—maintaining policy consistency across accounts becomes increasingly challenging.<br>Disparate configurations can lead to compliance violations, security gaps, and misaligned governance, especially in large or decentralized teams.</p><p id="""">With OpsNow, you can define a unified policy set and apply it consistently across all connected accounts. The system then scans each account based on the same standards (e.g., GDPR, SOC2, HIPAA, AWS Well-Architected), ensuring uniform evaluation.</p><p id="""">All results are visible from a centralized compliance dashboard, making it easy for teams to monitor the entire organization’s policy adherence in one place.</p><p id="""">📌 This is especially valuable for organizations operating in multi-account or multi-team environments where policy standardization and centralized visibility are essential for security and audit readiness.<br>‍</p><h3 id="""">✅ Summary:</h3><ul id=""""><li>Apply the same policy set to all AWS, Azure, and GCP accounts</li><li>Monitor organization-wide policy compliance in a single dashboard</li><li>Eliminate gaps or inconsistencies in policy implementation across teams</li><li>Maintain strong and standardized governance in complex cloud environments</li></ul><p>‍</p>",,OpsNow FinOps Plus,policy-management,opsnow-finops-plus,false,false,false,false,
"Can I apply budget growth rates automatically (e.g., 2–5% increase per month)?",auto-budget-growth-rate,6553f2f580e17f32ec1dd65b,6550ba985d0bbc1cfca82427,681837f8094f40b1eae680e1,false,false,Mon May 05 2025 04:00:56 GMT+0000 (Coordinated Universal Time),Mon May 05 2025 04:00:56 GMT+0000 (Coordinated Universal Time),Thu Jun 26 2025 08:49:43 GMT+0000 (Coordinated Universal Time),"<p id="""">Yes, OpsNow FinOps Plus allows you to apply <strong id="""">automatic growth rates</strong> when setting up budgets.</p><p id="""">✅ <strong id="""">What is the Budget Growth Rate feature?</strong><br>This feature enables budgets to <strong id="""">automatically increase over time</strong> based on a predefined percentage—useful for growing workloads or scaling projects.</p><p id="""">Typical use cases include:</p><ul id=""""><li>📈 Projects expecting gradual increases in cloud usage</li><li>🗓 Department budgets that scale month over month or quarterly<br>‍</li></ul><p id=""""><strong id="""">Example:</strong><br>January: $1,000 → February: $1,050 → March: $1,102<br>You can choose between cumulative or fixed increase types based on your budgeting policy.</p><p id="""">⚙️ Growth rates can be set when creating or editing a budget rule, by enabling the “Growth Rate” option and entering a custom percentage (e.g., 2%, 5%).<br>‍</p><p id="""">📌 This helps teams proactively manage cost expectations and align budget plans with business growth.</p><p>‍</p>",,OpsNow FinOps Plus,budgets,opsnow-finops-plus,false,false,false,false,
